ticker,DATE,Revenue Growth (YoY),Shares Change,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,EBITDA Margin,EBIT Margin,Cash Growth,Debt Growth
AAPL,12/31/2022,-5.48%,-3.41%,42.96%,30.74%,25.61%,25.79%,32.90%,30.41%,-18.34%,-9.52%
AAPL,9/24/2022,8.14%,-3.11%,42.26%,27.62%,22.99%,23.12%,31.45%,28.27%,-11.24%,-3.73%
AAPL,6/25/2022,1.87%,-3.10%,43.26%,27.82%,23.44%,25.06%,32.05%,28.67%,-7.40%,-1.72%
AAPL,3/26/2022,8.59%,-3.11%,43.75%,30.82%,25.71%,26.37%,34.51%,31.69%,-5.70%,-1.37%
AAPL,12/25/2021,11.22%,-3.47%,43.76%,33.47%,27.94%,35.63%,36.01%,33.83%,3.59%,9.60%
AAPL,9/25/2021,28.84%,-3.60%,42.20%,28.53%,24.65%,20.37%,32.28%,28.69%,-0.68%,10.92%
AAPL,6/26/2021,36.44%,-3.66%,43.29%,29.63%,26.70%,23.33%,34.22%,30.74%,0.01%,8.04%
AAPL,3/27/2021,53.63%,-3.91%,42.51%,30.70%,26.38%,24.24%,35.14%,32.02%,5.98%,11.08%
AAPL,12/26/2020,21.37%,-3.96%,39.78%,30.09%,25.80%,31.64%,33.10%,30.70%,-5.55%,3.46%
AAPL,9/26/2020,1.03%,-4.56%,38.16%,22.84%,19.59%,29.05%,28.19%,24.01%,-6.83%,4.06%
AAPL,6/27/2020,10.92%,-5.36%,38.00%,21.93%,18.85%,24.64%,27.79%,23.18%,-8.07%,3.97%
AAPL,3/28/2020,0.51%,-6.30%,38.36%,22.04%,19.29%,19.65%,28.60%,23.82%,-14.45%,-2.77%
AAPL,12/28/2019,8.91%,-6.68%,38.35%,27.85%,24.22%,30.94%,32.15%,29.08%,-15.50%,-5.61%
AAPL,9/28/2019,1.81%,-6.75%,37.97%,24.40%,21.37%,26.75%,31.41%,26.45%,-13.16%,-5.62%
AAPL,6/29/2019,1.02%,-6.60%,37.59%,21.45%,18.67%,17.91%,29.20%,23.75%,-13.59%,-5.39%
AAPL,3/30/2019,-5.11%,-7.26%,37.61%,23.12%,19.93%,15.15%,30.76%,25.52%,-15.65%,-7.56%
AAPL,12/29/2018,-4.51%,-7.46%,37.99%,27.69%,23.68%,27.68%,33.44%,29.41%,-14.05%,-6.27%
AAPL,9/29/2018,19.63%,-6.48%,38.29%,25.62%,22.46%,26.20%,31.86%,27.49%,-11.82%,-1.03%
AAPL,6/30/2018,17.30%,-5.86%,38.34%,23.68%,21.63%,21.07%,31.53%,26.53%,-6.80%,5.78%
AAPL,3/31/2018,15.58%,-3.67%,38.31%,26.00%,22.61%,17.89%,32.22%,27.74%,4.04%,23.67%
AAPL,12/30/2017,12.69%,-3.19%,38.41%,29.76%,22.73%,28.86%,34.55%,31.45%,15.85%,39.81%
AAPL,9/30/2017,12.22%,-3.89%,37.91%,24.95%,20.38%,22.60%,32.46%,27.74%,13.18%,32.92%
AAPL,7/1/2017,7.20%,-4.37%,38.51%,23.71%,19.20%,14.08%,31.41%,26.23%,12.96%,27.56%
AAPL,4/1/2017,4.63%,-5.04%,38.93%,26.65%,20.85%,18.30%,33.17%,28.76%,10.27%,23.35%
AAPL,12/31/2016,3.27%,-4.76%,38.51%,29.81%,22.83%,30.39%,35.34%,31.53%,14.07%,39.05%
